Código;Cant. por caja
15054000;50
15054001;50
15054002;50
15054003;50
15054004;50
15054005;50
15054006;50
1510436;30
1510438;30
1510440;30
1510442;30
1510444;30
1510446;30
1510448;30
1510450;30
1510452;30
1510454;30
1520438;30
1520440;30
1520442;30
1520444;30
1520446;30
1520448;30
1520450;30
1520452;30
1520456;30
1520458;30
1520460;30
1543421;20
1543422;20
1543423;20
1543424;20
1543425;20
1543426;20
1544021;20
1544022;20
1544023;20
1544024;20
1544025;20
1544026;20
16000501;12
16000503;12
16000505;12 / 20
1600121;50
1600122;50
1600123;50
1600124;50
1600125;50
1600126;50
1600421;50
1600422;50
1600423;50
1600424;50
1600425;50
1600426;50
1600721;50
1600723;50
1600725;50
16010502;12
16010504;12
16010507;12
160121;100
160122;100
160123;100
160124;100
160125;100
160321;100
160322;100
160621;100
160622;100
160623;100
160624;100
160625;100
161021;100
161022;100
161023;100
17000200;40
17000201;40
17000202;40
17000203;40
17000204;40
17000205;40
1700121;50
1700122;50
1700123;50
1700124;50
1700125;50
1700126;50
17003500;40
17003501;40
17003502;40
17003503;40
17003504;40
17003505;40
1700421;50
1700422;50
1700423;50
1700424;50
1700425;50
1700426;20 / 50
1700721;50
1700722;50
1700723;50
1700724;50
1700725;30
17010200;40
17010201;40
17010202;40
17010203;40
17010204;40
17010205;40
17010206;40
170123;100
17013500;40
17013501;40
17013502;40
17013503;40
17013504;40
17013505;40
17013506;40
17020700;40
17020701;40
17020702;40
17020703;40
17020704;40
17020705;40
17020900;40
17020901;40
17020902;40
17020903;40
17020904;40
17020905;40
17030700;40
17030701;40
17030702;40
17030703;40
17030704;40
17030705;40
17030706;40
17030900;40
17030901;40
17030902;40
17030903;40
17030904;40
17030905;40
17030906;40
170321;100
170322;100
170522;100
170523;100
170524;100
170621;100
170622;100
170623;100
170624;100
170721;100
170722;100
170723;100
170724;100
171021;100
171022;100
171023;100
171024;100
1780240;30
1780242;30
1780244;30
1780246;30
1780248;30
1780250;30
1780252;30
1780254;30
1780256;30
1780258;30
1780260;30
1780440;30
1780442;30
1780444;30
1780446;30
1780448;30
1780450;30
1780452;30
1780454;30
1780456;30
1780458;30
1780460;30
1780540;30
1780542;30
1780544;30
1780546;30
1780548;30
1780550;30
1780552;30
1780554;30
1780556;30
1780558;30
1780560;30
1780940;30
1780942;30
1780944;30
1780946;30
1780948;30
1780950;30
1780952;30
1780954;30
1780956;30
1780958;30
1780960;30
1790236;30
1790238;30
1790240;30
1790242;30
1790244;30
1790246;30
1790248;30
1790250;30
1790252;30
1790254;30
1790436;30
1790438;30
1790440;30
1790442;30
1790444;30
1790446;30
1790448;30
1790450;30
1790452;30
1790454;30
1790536;30
1790538;30
1790540;30
1790542;30
1790544;30
1790546;30
1790548;30
1790550;30
1790552;30
1790936;30
1790938;30
1790940;30
1790942;30
1790944;30
1790946;30
1790948;30
1790950;30 / 100000
1790952;30
1790954;30
18000500;20
18000501;20
18000502;20
18000503;20
18000504;20
18000505;20
1800240;30
1800242;30
1800244;30
1800246;30
1800248;30 / 40
1800250;30
1800252;30
1800254;30
1800256;30
1800258;30
1800260;30
18004300;20
18004301;20
18004302;20
18004303;20
18004304;20
18004305;20
1800440;30
1800442;30
1800444;30
1800446;30
1800448;30
1800450;30
1800452;30
1800454;30
1800456;30
1800458;30
1800460;30
1800540;30
1800542;30
1800544;30
1800546;30
1800548;30
1800550;30
1800552;30
1800554;30
1800556;30
1800558;30
1800560;30
1800940;30
1800942;30
1800944;30
1800946;30
1800948;30
1800950;30
1800952;30
1800954;30
1800956;30
1800958;30
1800960;30
18010500;20
18010501;20
18010502;20
18010503;20
18010504;20
18010505;20
18010506;20
180122;100
180123;100
180124;100
18014300;20
18014301;20
18014302;20
18014303;20
18014304;20
18014305;20
18014306;20
18020400;30
18020401;30
18020402;20 / 30
18020403;20 / 30
18020404;30
18020405;30
18021400;30
18021401;30
18021402;30
18021403;30
18021404;30
18021405;30
18030400;30
18030401;30
18030402;30
18030403;30
18030404;30
18030405;30
18030406;30
18031400;30
18031401;30
18031402;30
18031403;30
18031404;30
18031405;30
18031406;30
180321;100
180322;100
180323;100
180324;100
180325;100
180521;100
180522;100
180524;100
180525;100
180621;100
180623;100
180625;100
18065000;25
18065001;25
18065002;25
18065003;25
18065004;25
18065005;25
18065006;25
18065100;25
18065101;25
18065102;25
18065103;25
18065104;25
18065105;25
18065106;25
18070200;20
18070201;20
18070202;20
18070203;20
18070204;20
18070205;20
18070500;20
18070501;20
18070502;20
18070503;20
18070504;20
18070505;20
180721;100
180722;100
180724;100
18080200;20
18080201;20
18080202;20
18080203;20
18080204;20
18080205;20
18080500;20
18080501;20
18080502;20
18080503;20
18080504;20
18080505;20
18080506;20
18090200;20
18090201;20
18090202;20
18090203;20
18090204;20
18090205;20
18091900;10
18091901;20
18091902;20
18091903;10 / 20
18091904;10 / 20
18091905;20
18100200;20
18100201;20
18100202;20
18100203;20
18100204;20
18100205;20
18100206;20
18101900;20
18101901;20
18101902;10 / 20
18101903;10 / 20
18101904;10 / 20
18101905;10 / 20
18101906;20
181021;100
181024;100
1810240;30
1810244;30
1810246;30
181025;100
1810252;30
1810258;30
1810260;30
1810440;30
1810442;30
1810454;30
1810456;30
1810460;30
1810542;30
1810948;30
1810952;30
1810954;30
1810956;30
1810958;30
1810960;30
18111500;20
18111501;20
18111502;20
18111503;20
18111504;20
18111505;20
18113500;20
18113501;20
18113502;20
18113503;20
18113504;20
18113505;20
18121500;20
18121501;20
18121502;20
18121503;20
18121504;20
18121505;20
18121506;20
18123500;20
18123501;20
18123502;20
18123503;20
18123504;20
18123505;20
18123506;20
1820221;40
1820222;40
1820223;40
1820224;40
1820225;40
1820226;40
1820521;40
1820522;40
1820523;40
1820524;40
1820525;40
1820821;40
1820822;40
1820823;40
1820824;40
1820825;40
1820826;40
1820921;40
1820922;40
1820923;40
1820924;40
1820925;40
1820926;40
1830220;40
1830221;40
1830222;40
1830223;40
1830224;40
1830225;40
1830520;40
1830521;40
1830522;40
1830523;40
1830524;40
1830820;40
1830821;40
1830822;40
1830823;40
1830824;40
1830825;30 / 40
1830920;40
1830921;40
1830922;40
1830923;40
1830924;40
1830925;30 / 40
1840461;20
1840462;20
1840463;20
1840464;20
1840465;20
1840466;20
1840467;20
1841461;20
1841462;20
1841463;20
1841464;20
1841465;20
1841466;20
1850240;30
1850242;30
1850244;30
1850246;30
1850248;30
1850250;30
1850252;30
1850254;30
1850256;30
1850258;30
1850260;30
1850440;30
1850442;30
1850444;30
1850446;30
1850448;30
1850450;30
1850452;30
1850454;30
1850456;30
1850458;30
1850460;30
1850540;30
1850542;30
1850544;30
1850546;30
1850548;30
1850550;30
1850552;30
1850554;30
1850556;30
1850558;30
1850560;30
1850940;30
1850942;30
1850944;30
1850946;30
1850948;30
1850950;30
1850952;30
1850954;30
1850956;30
1850958;30
1850960;30
1860436;30
1860440;30
1860450;30
1860536;30
1860538;30
1860540;30
1860542;30
1860548;30
1860552;30
1870244;30
1870444;30
1870446;30
1870546;30
1870942;30
1870950;30
1870954;30
1870956;30
1880440;30
1880442;30
1880444;30
1880446;30
1880448;30
1880450;30
1880452;30
1880454;30
1880940;30
1880942;30
1880944;30
1880946;30
1880948;30
1880950;30
1880952;30
1891451;40
1891452;40
1891453;40
1891454;40
1891455;40
1891456;40
1893551;40
1893552;40
1893554;40
1893555;40
19003400;15
19003401;15
19003402;15
19003403;15
19003404;15
19003405;15
19003406;15
19004000;15
19004001;15
19004002;15
19004003;15
19004004;15
19004005;15
19004006;15
1900536;30
1900538;30
1900544;30
1900936;30
1900938;30
190121;100
190122;100
190123;100
190124;100
1901450;40
1901451;40
1901452;40
1901453;40
1901454;40
190321;100
190322;100
190323;100
190324;100
1903550;40
1903551;40
1903552;40
1903553;40
1903554;40
190521;100
190522;100
190523;100
190524;100
190621;100
190622;100
190623;100
190624;100
190625;100
190721;100
190722;100
190723;100
190724;100
191021;100
191022;100
191023;100
191024;100
1910436;30
1910440;30
1910536;30
1910538;30
1910544;30
1910546;30
1910548;30
1910936;30
1910948;30
1910954;30
1920436;30
1920450;30
1920452;30
1920536;30
1920538;30
1920540;30
1920542;30
1920544;30
1920546;30
1920550;30
1920936;30
1920938;30
1920948;30
1950436;30
1950442;30
1950444;30
1950446;30
1950452;30
1950454;30
1950536;30
1950538;30
1950540;30
1950542;30
1950544;30
1950548;30
1950552;30
1960521;25
1960522;25
1960523;25
1960524;25
1960525;25
1960526;25
1960921;30
1960922;30
1960923;30
1960924;30
1960925;30
1960926;30
1961421;25
1961422;25
1961423;25
1961424;25
1961425;25
1961426;25
1970051;100
1971051;10000000
1972051;10000000
1980461;20
1980462;20
1980463;20
1980464;20
1980465;20
1980466;20
1980561;20
1980562;20
1980563;20
1980564;20
1980565;20
1980566;20
1984761;20
1984762;20
1984763;20
1984764;20
1984765;20
1984766;20
1991421;20
1991422;20
1991423;20
1991424;20
1991425;20
1994221;20
1994222;20
1994223;20
1994224;20
1994225;20
1994226;20
1994265;20
